specie	formula	sistema_xx	status	sottogruppo	gruppo	supergruppo	famiglia	sottoclasse	classe
Adranosite	(NH4)4NaAl2(SO4)4Cl(OH)2	Tetragonal	Approved		adranosite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Adranosite-(Fe)	(NH4)4NaFe3+2(SO4)4Cl(OH)2	Tetragonal	Approved		adranosite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Adrianite	Ca12(Mg3Al4Si3)Si4O32Cl6	Cubic	Approved		wadalite			nesosilicates	"silicates 
[cluster]"
Aegirine	NaFe3+(Si2O6)	Monoclinic	Approved		diopside	pyroxene		inosilicates	"silicates 
[chain-ribbon]"
Aegirine-augite	(Ca,Na)(Fe3+,Mg)(Si2O6)	Monoclinic	Redefined		diopside	pyroxene		inosilicates	"silicates 
[chain-ribbon]"
Aenigmatite	Na4[Fe2+10Ti4+2]O4[Si12O36]	Triclinic	Approved	aenigmatite	sapphirine			inosilicates	"silicates 
[chain-ribbon]"
Aerinite	Ca6(Fe3+,Fe2+,Mg)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O	Trigonal	Redefined		aërinite			inosilicates	"silicates 
[chain-ribbon]"
Aerugite	(?,Ni)8.5(AsO4)2As5+O8	Trigonal	Redefined		aerugite		copper	arsenates	phosphates, arsenates, vanadates
Aeschynite-(Ce)	CeTi2(O,OH)6	Orthorhombic	Renamed		aeschynite	fergusonite	copper		oxides
Aeschynite-(Nd)	NdTi2(O,OH)6	Orthorhombic	Approved		aeschynite	fergusonite	copper		oxides
Aeschynite-(Y)	YTi2(O,OH)6	Orthorhombic	Renamed		aeschynite	fergusonite	copper		oxides
Afghanite	Na16K5Ca11(Al24Si24O96)(SO4)6Cl6	Trigonal	Approved	davyne	cancrinite	cancrinite		tektosilicates	"silicates 
[framework]"
Afmite	Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O	Triclinic	Approved	afmite	turquoise			phosphates	phosphates, arsenates, vanadates
Afwillite	Ca3[SiO3(OH)]2·2H2O	Triclinic	Grandfathered		afwillite			nesosilicates	"silicates 
[cluster]"
Agaite	Pb3CuTe6+O5(OH)2(CO3)	Orthorhombic	Approved		agaite			carbonates	carbonates and nitrates
Agakhanovite-(Y)	(YCa)?2KBe3[Si12O30]	Hexagonal	Approved		milarite			cyclosilicates	"silicates 
[cluster]"
Agardite-(Ce)	CeCu2+6(AsO4)3(OH)6·3H2O	Hexagonal	Approved	mixite	mixite			arsenates	phosphates, arsenates, vanadates
Agardite-(La)	LaCu2+6(AsO4)3(OH)6·3H2O	Hexagonal	Approved	mixite	mixite			arsenates	phosphates, arsenates, vanadates
Agardite-(Nd)	NdCu2+6(AsO4)3(OH)6·3H2O	Hexagonal	Approved	mixite	mixite			arsenates	phosphates, arsenates, vanadates
Agardite-(Y)	YCu2+6(AsO4)3(OH)6·3H2O	Hexagonal	Approved	mixite	mixite			arsenates	phosphates, arsenates, vanadates
Agmantinite	Ag2MnSnS4	Orthorhombic	Approved		enargite	greenockite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Agrellite	NaCa2Si4O10F	Triclinic	Approved		agrellite			inosilicates	"silicates 
[chain-ribbon]"
Agricolaite	K4(UO2)(CO3)3	Monoclinic	Approved		?ejkaite			uranyl carbonates	carbonates and nitrates
Agrinierite	K2Ca[(UO2)3O3(OH)2]2·5H2O	Monoclinic	Approved		becquerelite	becquerelite		uranyl hydroxides	oxides
Aguilarite	Ag4SeS	Monoclinic	Grandfathered		eucairite	eucairite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Aheylite	Fe2+Al6(PO4)4(OH)8·4H2O	Triclinic	Approved	turquoise	turquoise			phosphates	phosphates, arsenates, vanadates
Ahlfeldite	Ni(SeO3)·2H2O	Monoclinic	Grandfathered		chalcomenite	chalcomenite		arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Ahrensite	SiFe2+2O4	Cubic	Approved	ulvöspinel (4-2)	oxyspinel	spinel	copper		oxides
Aikinite	CuPbBiS3	Orthorhombic	Grandfathered		aikinite	stibnite	copper	sulfosalts	sulfides and sulfosalts
Aiolosite	Na2(Na2Bi)(SO4)3Cl	Hexagonal	Approved		hedyphane	apatite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Airdite	Sr(V4+O)2(PO4)2?4H2O	Monoclinic	Approved		airdite			"vanadyl
phosphates"	phosphates, arsenates, vanadates
Ajoite	K3Cu2+20Al3Si29O76(OH)16·8H2O	Triclinic	Approved		ajoite			phyllosilicates	"silicates 
[sheet]"
Akaganeite	Fe3+8(OH,O)16Cl1.25·nH2O	Monoclinic	Renamed		akaganeite				oxides
Akaogiite	TiO2 	Monoclinic	Approved		baddeleyite	[fluorite]	copper		oxides
Akatoreite	Mn2+9Al2Si8O24(OH)8	Triclinic	Approved		akatoreite			sorosilicates	"silicates 
[cluster]"
Akdalaite	Al5O7(OH)	Hexagonal	Approved		akdalaite			hydroxides	oxides
?kermanite	Ca4Mg2Si4O14	Tetragonal	Grandfathered		melilite	melilite		sorosilicates	"silicates 
[cluster]"
Akhtenskite	Mn4+O2	Hexagonal	Approved		akhtenskite				oxides
Akimotoite	MgSiO3	Trigonal	Approved		ilmenite	hematite	copper		oxides
Aklimaite	Ca4[Si2O5(OH)2](OH)4·5H2O	Monoclinic	Approved		aklimaite	sideronatrite		sorosilicates	silicates
Akopovaite	Li2Al4(CO3)(OH)12(H2O)3	Monoclinic	Approved		quintinite	hydrotalcite		carbonates	carbonates and nitrates
Akrochordite	Mn2+2Mn2+2Mn2+(AsO4)2(OH)4·4H2O	Monoclinic	Grandfathered		akrochordite			arsenates	phosphates, arsenates, vanadates
Aksaite	MgB6O7(OH)6·2H2O	Orthorhombic	Approved		aksaite			hexaborates	borates
Aktashite	Cu6Hg3As4S12	Trigonal	Redefined		nowackiite		copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Alabandite	Mn2+S	Cubic	Grandfathered		galena	halite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Alacránite	As8S9	Monoclinic	Renamed		uzonite			sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Alamosite	PbSiO3	Monoclinic	Grandfathered		alamosite		12 chains pyroxenoid	inosilicates	"silicates 
[chain-ribbon]"
Alarsite	Al(AsO4)	Trigonal	Approved		berlinite	quartz	copper	arsenates	phosphates, arsenates, vanadates
Albertiniite	Fe2+(S4+O3)·3H2O	Monoclinic	Approved		gravegliaite			arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Albite	Na(AlSi3)O8	Triclinic	Grandfathered		plagioclase	feldspar		tektosilicates	"silicates 
[framework]"
Albrechtschraufite	Ca4Mg(UO2)2(CO3)6F2·17-18H2O	Triclinic	Approved		albrechtschraufite			uranyl carbonates	carbonates and nitrates
Alburnite	Ag8GeTe2S4	Cubic	Approved		argyrodite			sulfosalts	sulfides and sulfosalts
Alcantarillaite	[Fe3+0.5?0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7]	Orthorhombic	Approved		walentaite		copper	arsenates	phosphates, arsenates, vanadates
Alcaparrosaite	K3Ti4+Fe3+(SO4)4O(H2O)2	Monoclinic	Approved		alcaparrosaite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Aldermanite	[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O	Monoclinic	Redefined		walentaite (close to)		copper	phosphates	phosphates, arsenates, vanadates
Aldomarinoite	Sr2Mn3+(AsO4)2(OH)	Monoclinic	Approved	"arsen
brackebuschite"	brackebuschite	vauquelinite		arsenates	phosphates, arsenates, vanadates
Aldridgeite	Cd[Cu4(SO4)2(OH)6]·3H2O	Monoclinic	Approved		serpierite	lavendulan		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Aleksandrovite	KLi3Ca7Sn2[SiO3]12F2	Monoclinic	Approved		baratovite			cyclosilicates	"silicates 
[cluster]"
Aleksite	PbBi2Te2S2	Hexagonal	Approved		aleksite	tetradymite		sulfosalts	sulfides and sulfosalts
Aleutite	[Cu5O2](AsO4)(VO4)·(Cu0.5?0.5)Cl	Monoclinic	Approved		aleutite		copper	"vanado
arsenates"	phosphates, arsenates, vanadates
Alexkhomyakovite	K6(Ca2Na)(CO3)5Cl·6H2O	Hexagonal	Approved		alexkhomyakhovite			carbonates	carbonates and nitrates
Alexkuznetsovite-(Ce)	Ce2Mn2+(CO3)(Si2O7)	Monoclinic	Approved		biraite			sorosilicates	"silicates 
[cluster]"
Alexkuznetsovite-(La)	La2Mn2+(CO3)(Si2O7)	Monoclinic	Approved		biraite			sorosilicates	"silicates 
[cluster]"
Alflarsenite	NaCa2Be3Si4O13(OH)·2H2O	Monoclinic	Approved		alflarsenite	zeolite		tektosilicates	"silicates 
[framework]"
Alforsite	Ba2Ba3(PO4)3Cl	Hexagonal	Approved		apatite	apatite		phosphates	phosphates, arsenates, vanadates
Alfredcasparite	Sr2TiO(Si2O7)	Tetragonal	Approved		melilite	melilite		sorosilicates	"silicates 
[cluster]"
Alfredopetrovite	Al2(Se4+O3)3·6H2O	Hexagonal	Approved		mandarinoite	emmonsite		arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Alfredstelznerite	Ca4(H2O)4[B4O4(OH)6]4{H2O}15	Orthorhombic	Approved		alfredstelznerite			tetraborates	borates
Algodonite	(Cu1-xAsx)          (x = ~0.15)	Hexagonal	Grandfathered		zinc	zinc		metals and intermetallic alloys	sulfides and sulfosalts
Alicewilsonite-(YCe)	Na2Sr2YCe(CO3)6·3H2O	Triclinic	Approved		mckelveyite			carbonates	carbonates and nitrates
Alicewilsonite-(YLa)	Na2Sr2YLa(CO3)6·3H2O	Triclinic	Approved		mckelveyite			carbonates	carbonates and nitrates
Aliettite	Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O	Hexagonal	Redefined		rectorite (mixed-layer)			phyllosilicates	"silicates 
[sheet]"
Allabogdanite	Fe2+2P	Orthorhombic	Approved		florenskyite	"pallado
bismutharsenide"	copper	metal carbides, silicides, nitrides and phosphides	elements
Allactite	Mn2+7(AsO4)2(OH)8	Monoclinic	Approved	allactite	allactite			arsenates	phosphates, arsenates, vanadates
Allanite-(Ce)	(CaCe)(AlAlFe2+)[Si2O7][SiO4]O(OH)	Monoclinic	Renamed		allanite	epidote		sorosilicates	"silicates 
[cluster]"
Allanite-(La)	(CaLa)(AlAlFe2+)[Si2O7][SiO4]O(OH)	Monoclinic	Approved		allanite	epidote		sorosilicates	"silicates 
[cluster]"
Allanite-(Nd)	(CaNd)(AlAlFe2+)[Si2O7][SiO4]O(OH)	Monoclinic	Approved		allanite	epidote		sorosilicates	"silicates 
[cluster]"
Allanite-(Y)	(CaY)(AlAlFe2+)[Si2O7][SiO4]O(OH)	Monoclinic	Renamed		allanite	epidote		sorosilicates	"silicates 
[cluster]"
Allanpringite	Fe3+3(PO4)2(OH)3·5H2O	Monoclinic	Approved		wavellite			phosphates	phosphates, arsenates, vanadates
Allantoin	C4H6N4O3	Monoclinic	Approved		allantoin			unclassified organic compounds	organic compounds
Allargentum	(Ag1-xSbx)          (x = 0.09÷0.16)	Hexagonal	Redefined		zinc	zinc		metals and intermetallic alloys	sulfides and sulfosalts
Alleghanyite	Mn2+5(SiO4)2(OH)2	Monoclinic	Grandfathered		humite	humite	copper	nesosilicates	"silicates 
[cluster]"
Allendeite	Sc4Zr3O12	Trigonal	Approved		allendeite		copper		oxides
Allochalcoselite 	Cu+Cu2+5PbO2(SeO3)2Cl5	Monoclinic	Approved		allochalcoselite 		copper	arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Alloclasite	Co[AsS]	Monoclinic	Grandfathered		arsenopyrite	marcasite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Allophane	Al2O3(SiO2)1.3-2.0·2.5-3.0H2O	Not crystalline	Grandfathered		allophane			phyllosilicates	"silicates 
[sheet]"
Alloriite	Na19K6Ca5[Al22Si26O96](SO4)5Cl(CO3)x(H2O)y 	Trigonal	Approved	davyne	cancrinite	cancrinite		tektosilicates	"silicates 
[framework]"
Alluaivite	Na19(Ca,Mn2+)6(Ti,Nb)3Si26O74Cl·2H2O	Trigonal	Approved	paraeudialyte	eudialyte			cyclosilicates	silicates
Alluaudite	NaMn2+(Fe3+Fe3+)(PO4)3	Monoclinic	Redefined		alluaudite	alluaudite		phosphates	phosphates, arsenates, vanadates
Almandine	{Fe2+3}[Al2](Si3)O12	Cubic	Approved		garnet	garnet		nesosilicates	"silicates 
[cluster]"
Almarudite	Mn2+2?2KBe2Al[Si12O30]	Hexagonal	Approved		milarite			cyclosilicates	"silicates 
[cluster]"
Almeidaite	Pb(Mn,Y)Zn2(Ti,Fe3+)18O37(OH,O)	Trigonal	Approved		landauite	crichtonite	copper		oxides
Alnaperb?eite-(Ce)	(CaCe2.5Na0.5)?4[AlAl2Al]?4(Si2O7)(SiO4)3O(OH)2	Monoclinic	Approved		alnaperb?eite	gatelite		sorosilicates	"silicates 
[cluster]"
Alpeite	Ca4Mn3+2Al2(Mn3+Mg)(V5+O4)(SiO4)2(Si3O10)(OH)6	Orthorhombic	Approved	alpeite	ardennite	ardennite		silicovanadates	"silicates 
[cluster]"
Alpersite	Mg(SO4)·7H2O	Orthorhombic	Approved		melanterite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Alsakharovite-Zn	NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O	Monoclinic	Approved		gutkovaite	labuntsovite		cyclosilicates	"silicates 
[cluster]"
Alstonite	BaCa(CO3)2	Trigonal	Grandfathered		alstonite	aragonite		carbonates	carbonates and nitrates
Altaite	PbTe	Cubic	Grandfathered		galena	halite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Alterite	Zn2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O	Monoclinic	Approved		alterite			salts of organic acids	organic compounds
Althausite	Mg2Mg2(PO4)2(OH,O)(F,?)	Orthorhombic	Approved		althausite	chrysoberyl	copper	phosphates	phosphates, arsenates, vanadates
Althupite	AlTh(UO2)7(PO4)4O2(OH)5·15H2O	Triclinic	Approved	althupite	phosphuranylite			uranyl phosphates	phosphates, arsenates, vanadates
Altisite	Na3K6Ti2Al2Si8O26Cl3	Monoclinic	Approved		lemoynite			inosilicates	"silicates 
[chain-ribbon]"
Alum-(K)	KAl(SO4)2(H2O)12	Cubic	Renamed		alum			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Alum-(Na)	NaAl(SO4)2(H2O)12	Cubic	Renamed		alum			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Aluminite	AI2(OH)4(H2O)3](SO4)·4H2O	Monoclinic	Grandfathered		aluminite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Aluminium	Al	Cubic	Approved		copper	copper	copper	metals and intermetallic alloys	elements
Alumino-oxy-rossmanite	?Al3Al6(Si5AlO18)(BO3)3(OH)3O	Trigonal	Approved	foitite	vacant tourmaline	tourmaline		cyclosilicates	"silicates 
[cluster]"
Aluminoceladonite	K(MgAl?)Si4O10(OH)2	Monoclinic	Approved	celadonite	dioctahedral mica	mica		phyllosilicates	"silicates 
[sheet]"
Aluminocerite-(CeCa)	(Ce6Ca3)?Al(SiO4)3(SiO3OH)4(OH)3	Trigonal	Redefined	cerite	cerite	cerite	copper	nesosilicates	"silicates 
[cluster]"
Aluminocopiapite	(Al2/3?1/3)Fe3+4(SO4)6(OH)2·20H2O	Triclinic	Grandfathered	copiapite	copiapite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Aluminocoquimbite	Al2Fe3+2(SO4)6(OH)12·6H2O	Trigonal	Redefined		aluminocoquimbite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Aluminomagnesiohulsite	Mg2AlO2(BO3)	Monoclinic	Renamed	hulsite	hulsite			monoborates	borates
Aluminopyracmonite	(NH4)3Al(SO4)3	Trigonal	Approved	"alumino
pyracmonite"	godovikovite	kalsilite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Aluminosugilite	Na2Al2KLi3[Si12O30]	Hexagonal	Approved		milarite			cyclosilicates	"silicates 
[cluster]"
Aluminotaipingite-(CeCa)	(Ce6Ca3)?Al(SiO4)3[SiO3(OH)]4F3	Trigonal	Approved	taipingite	cerite	cerite	copper	nesosilicates	"silicates 
[cluster]"
Alumo?kermanite	Ca4Al2(Si2Al2)O14	Tetragonal	Approved		melilite	melilite		sorosilicates	"silicates 
[cluster]"
Alumoedtollite	K2NaCu4(CuAl)O2(AsO4)4	Triclinic	Approved		edtollite			arsenates	phosphates, arsenates, vanadates
Alumohydrocalcite	CaAl2(CO3)2(OH)4·4H2O	Triclinic	Approved		alumohydrocalcite	dundasite		carbonates	carbonates and nitrates
Alumoklyuchevskite	K3Cu2+3Al(SO4)4O2	Triclinic	Approved		piypite		copper	sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Alumolukrahnite	Ca[Cu2+Al](AsO4)2(OH)(H2O)	Triclinic	Approved	helmutwinklerite	helmutwinklerite	vauquelinite		arsenates	phosphates, arsenates, vanadates
Alumotantite	AlTaO4	Orthorhombic	Approved		stibiotantalite	stibiocolumbite	copper		oxides
Alumovesuvianite	Ca19Al(Al10Mg2)(SiO4)10(Si2O7)4O(OH)9	Tetragonal	Approved	vesuvianite	vesuvianite			sorosilicates	"silicates 
[cluster]"
Alunite	KAl3(SO4)2(OH)6	Trigonal	Redefined	alunite	alunite	alunite	copper	sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Alunogen	Al2(SO4)3·(12+5)H2O	Triclinic	Grandfathered		alunogen			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Alvanite	ZnAl4(VO3)2(OH)12·2H2O	Monoclinic	Approved		chalcoalumite			polyphosphates, polyarsenates, polyvanadates	phosphates, arsenates, vanadates
Alvesite	NaKZrSi6O15?2H2O	Orthorhombic	Approved		elpidite			inosilicates	"silicates 
[chain-ribbon]"
Alwilkinsite-(Y)	Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O	Orthorhombic	Approved		alwilkinsite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Amakinite	Fe2+(OH)2	Trigonal	Approved		brucite			hydroxides	oxides
Amamoorite	CaMn2+Mn2+Mn3+(Si2O7)O(OH)	Monoclinic	Approved		ilvaite			sorosilicates	"silicates 
[cluster]"
Amarantite	Fe3+2(SO4)2O·(4+3)H2O	Triclinic	Grandfathered		amarantite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Amarillite	NaFe3+(SO4)2·6H2O	Monoclinic	Grandfathered		tamarugite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Amblygonite	LiAl(PO4)F	Triclinic	Grandfathered		amblygonite	titanite		phosphates	phosphates, arsenates, vanadates
Ambrinoite	[K1.5(NH4)0.5]S=2(As6,Sb2)S=8S13·H2O	Triclinic	Approved		gerstleyite			sulfosalts	sulfides and sulfosalts
Ameghinite	NaB3O3(OH)4	Monoclinic	Approved		ameghinite			triborates	borates
Amesite	Mg2Al(SiAl)O5(OH)4	Hexagonal	Grandfathered		chrysotile	trioctahedral kaolin-serpentine	kaolin-serpentine	phyllosilicates	"silicates 
[sheet]"
Amgaite	Tl3+2Te6+O6	Trigonal	Approved		malladrite		copper	tellurates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Amicite	K4Na4[Al8Si8O32]·10H2O	Monoclinic	Approved		gismondine	zeolite		tektosilicates	"silicates 
[framework]"
Aminoffite	Ca3[Be2(OH)2]Si3O10	Tetragonal	Grandfathered		harstigite			sorosilicates	"silicates 
[cluster]"
Ammineite	CuCl2(NH3)2	Orthorhombic	Approved		ammineite			unclassified halides	halides
Ammonioalunite	(NH4)Al3(SO4)2(OH)6	Trigonal	Approved	alunite	alunite	alunite	copper	sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Ammonioborite	(NH4)3[B15O20(OH)8]·4H2O	Monoclinic	Grandfathered		ammonioborite			pentaborates	borates
Ammoniojarosite	(NH4)Fe3+3(SO4)2(OH)6	Trigonal	Redefined	alunite	alunite	alunite	copper	sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Ammoniolasalite	(NH4)2Mg2(H2O)20] [V5+10O28]	Monoclinic	Approved	lasalite	hummerite	pascoite		sorovanadates	oxides
Ammonioleucite	(NH4)[AlSi2O6]	Tetragonal	Approved		analcime	zeolite		tektosilicates	"silicates 
[framework]"
Ammoniomagnesiovoltaite	(NH4)2Mg5Fe3+3Al(SO4)12(H2O)18	Cubic	Approved		voltaite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Ammoniomathesiusite	(NH4)5(UO2)4(SO4)4(VO5)·4H2O	Tetragonal	Approved		mathesiusite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Ammoniotinsleyite	(NH4)Al2(PO4)2(OH)·2H2O	Monoclinic	Approved		leucophosphite			phosphates	phosphates, arsenates, vanadates
Ammoniovoltaite	(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18	Cubic	Approved		voltaite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Ammoniozippeite	(NH4)2[(UO2)2O2(SO4)]·H2O	Orthorhombic	Approved		zippeite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Amoraite	Ca12Al6(OH)36(CO3)2(SO3)·15H2O	Triclinic	Approved		brugnatellite	hydrotalcite		carbonates	carbonates and nitrates
Amstallite	CaAl(OH)2[(Si,Al)4O8(OH)2]·(H2O,Cl)	Monoclinic	Approved	amstallite	prehnite			inosilicates	"silicates 
[chain-ribbon]"
Analcime	Na[Si2AlO6]·H2O	Cubic	Approved		analcime	zeolite		tektosilicates	"silicates 
[framework]"
Anandite	BaFe2+3(Fe3+Si3)O10[(OH),S2-]2	Monoclinic	Approved	bityite	trioctahedral mica	mica		phyllosilicates	"silicates 
[sheet]"
Anapaite	Ca2Fe2+(PO4)2·4H2O	Triclinic	Grandfathered		anapaite			phosphates	phosphates, arsenates, vanadates
Anastasenkoite	CaFe2+(P2O7)	Triclinic	Approved		anastasenkoite			polyphosphates, polyarsenates, polyvanadates	phosphates, arsenates, vanadates
Anatase	TiO2	Tetragonal	Approved		anatase		copper		oxides
Anatolyite	Na6Ca(Mg2Fe3+)Al(AsO4)6	Trigonal	Approved		yurmarinite			arsenates	phosphates, arsenates, vanadates
Ancylite-(Ce)	SrCe(CO3)2(OH)·H2O	Orthorhombic	Renamed		ancylite			carbonates	carbonates and nitrates
Ancylite-(La)	SrLa(CO3)2(OH)·H2O	Orthorhombic	Approved		ancylite			carbonates	carbonates and nitrates
Andalusite	AlAl(SiO4)O	Orthorhombic	Grandfathered		andalusite	andalusite	copper	nesosilicates	"silicates 
[cluster]"
Andersonite	Na2Ca[(U6+O2)(CO3)3]·(5+x)H2O	Trigonal	Grandfathered		andersonite			uranyl carbonates	carbonates and nitrates
Andradite	{Ca3}[Fe3+2](Si3)O12	Cubic	Approved		garnet	garnet		nesosilicates	"silicates 
[cluster]"
Andreadiniite	CuHgAg7Pb7Sb24S48	Monoclinic	Approved		andorite	lillianite	copper	sulfosalts	sulfides and sulfosalts
Andrémeyerite	BaFe2+2Si2O7	Monoclinic	Renamed	andrémeyerite	barylite			sorosilicates	"silicates 
[cluster]"
Andreybulakhite	Ni2+(C2O4)·2H2O	Monoclinic	Approved		humboldtine			salts of organic acids	organic compounds
Andreyivanovite	Fe2+CrP	Orthorhombic	Approved		florenskyite	"pallado
bismutharsenide"	copper	metal carbides, silicides, nitrides and phosphides	elements
Andrianovite	Na12(K,Sr,Ce)3Ca6Mn2+3Zr3NbSi25O73(O,H2O,OH)5	Trigonal	Approved	eudialyte	eudialyte			cyclosilicates	"silicates 
[cluster]"
Andrieslombaardite	RhSbS	Cubic	Approved		cobaltite	pyrite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
